,,,,,Synonyms in Software Tools,,,,,https://rdrr.io/bioc/CAMERA/man/ruleSet-class.html,,,,,,
metabolomicsUtils name,in R?,Charge,Calculation,Definition,SIRIUS,MetFrag,mzMine,MassBank,enviPat,CAMERA,GNPS,Agilent,Waters,Bruker MetaboScape,Damont et al,Others
,,,,,,,,,,[2M+3Na-H]2+,,,,,,
,,,,,,,,,,[2M+3Na+2K-H]4+,,,,,,
,,,,,,,,,,[2M+3Na+K-H]3+,,,,,,
,,,,,,,,,,[2M+H+K]2+,,,,,,
,,,,,,,,,,[2M+H+Na]2+,,,,,,
,,,,,,,,,,[2M+Na+2K-H]2+,,,,,,
,,,,,,,,,,[2M+Na+2K]3+,,,,,,
,,,,,,,,,,[2M+Na+3K-H]3+,,,,,,
,,,,,,,,,,[2M+Na+K-H]+,,,,,,
,,,,,,,,,,[2M+Na+K]2+,,,,,,
,,,,,,,,,,[3M+2H]2+,,,,,,
,,,,,,,,,,[3M+2K-H]+,,,,,,
,,,,,,,,,,[3M+2K]2+,,,,,,
,,,,,,,,,,[3M+2Na-H]+,,,,,,
,,,,,,,,,,[3M+2Na]2+,,,,,,
,,,,,,,,,,[3M+2Na+2K-H]3+,,,,,,
,,,,,,,,,,[3M+2Na+2K]4+,,,,,,
,,,,,,,,,,[3M+2Na+3K-H]4+,,,,,,
,,,,,,,,,,[3M+2Na+K-H]2+,,,,,,
,,,,,,,,,,[3M+2Na+K]3+,,,,,,
,,,,,,,,,,[3M+3H]3+,,,,,,
,,,,,,,,,,[3M+3K-H]2+,,,,,,
,,,,,,,,,,[3M+3Na-H]2+,,,,,,
,,,,,,,,,,[3M+3Na+2K-H]4+,,,,,,
,,,,,,,,,,[3M+3Na+K-H]3+,,,,,,
,,,,,,,,,,[3M+H]+,,,,,,
,,,,,,,,,,[3M+H+K]2+,,,,,,
,,,,,,,,,,[3M+H+Na]2+,,,,,,
,,,,,,,,,,[3M+K]+,,,,,,
,,,,,,,,,,[3M+Na]+,,,,,,
,,,,,,,,,,[3M+Na+2K-H]2+,,,,,,
,,,,,,,,,,[3M+Na+2K]3+,,,,,,
,,,,,,,,,,[3M+Na+3K-H]3+,,,,,,
,,,,,,,,,,[3M+Na+K-H]+,,,,,,
,,,,,,,,,,[3M+Na+K]2+,,,,,,
,,,,,,,,,,[M+2H-C2H4]2+,,,,,,
,,,,,,,,,,[M+2H-C3H2O3]2+,,,,,,
,,,,,,,,,,[M+2H-C4H8]2+,,,,,,
,,,,,,,,,,[M+2H-C5H8O4]2+,,,,,,
,,,,,,,,,,[M+2H-C6H10O4]2+,,,,,,
,,,,,,,,,,[M+2H-C6H10O5]2+,,,,,,
,,,,,,,,,,[M+2H-C6H8O6]2+,,,,,,
,,,,,,,,,,[M+2H-CH2]2+,,,,,,
,,,,,,,,,,[M+2H-CH3]2+,,,,,,
,,,,,,,,,,[M+2H-CH4]2+,,,,,,
,,,,,,,,,,[M+2H-CO]2+,,,,,,
,,,,,,,,,,[M+2H-CO2]2+,,,,,,
,,,,,,,,,,[M+2H-COCH2]2+,,,,,,
,,,,,,,,,,[M+2H-H20]2+,,,,,,
,,,,,,,,,,[M+2H-HCOOH]2+,,,,,,
,,,,,,,,,,[M+2H-NH3]2+,,,,,,
,,,,,,,,,,[M+2K]2+,,,,,,
,,,,,,,,,,[M+2Na+2K-H]3+,,,,,,
,,,,,,,,,,[M+2Na+2K]4+,,,,,,
,,,,,,,,,,[M+2Na+3K-H]4+,,,,,,
,,,,,,,,,,[M+2Na+K-H]2+,,,,,,
,,,,,,,,,,[M+2Na+K]3+,,,,,,
,,,,,,,,,,[M+3H-C2H4]3+,,,,,,
,,,,,,,,,,[M+3H-C3H2O3]3+,,,,,,
,,,,,,,,,,[M+3H-C4H8]3+,,,,,,
,,,,,,,,,,[M+3H-C5H8O4]3+,,,,,,
,,,,,,,,,,[M+3H-C6H10O4]3+,,,,,,
,,,,,,,,,,[M+3H-C6H10O5]3+,,,,,,
,,,,,,,,,,[M+3H-C6H8O6]3+,,,,,,
,,,,,,,,,,[M+3H-CH2]3+,,,,,,
,,,,,,,,,,[M+3H-CH3]3+,,,,,,
